original_question,original_answer,original_label
what two people were killed inside the store?,"the dead included two men from northern california who had merely been visiting the store's owner, their cousin, to see if they could open a similar store in their area.",1
how is nirvana achieved?,"in theravada buddhism, the ultimate goal is the attainment of the sublime state of nirvana, achieved by practicing the noble eightfold path (also known as the middle way), thus escaping what is seen as a cycle of suffering and rebirth.",0
what conflict overseen by president polk might be the source of tennessee's nickname?,"this explanation is more likely, because president polk's call for 2,600 nationwide volunteers at the beginning of the mexican-american war resulted in 30,000 volunteers from tennessee alone, largely in response to the death of davy crockett and appeals by former tennessee governor and now texas politician, sam houston.",1
in chinese buddhism what meditation is more popular?,"according to routledge's encyclopedia of buddhism, in contrast, throughout most of buddhist history before modern times, serious meditation by lay people has been unusual.",1
when did european sport clubs begin to form in the ottoman empire?,"the main sports ottomans were engaged in were turkish wrestling, hunting, turkish archery, horseback riding, equestrian javelin throw, arm wrestling, and swimming.",1
what part of their motherboards does dell not reveal the specifications of?,"while motherboard power connections reverted to the industry standard in 2003, dell continues to remain secretive about their motherboard pin-outs for peripherals (such as mmc readers and power on/off switches and leds).",0
what was the highest order of species n land?,"the climate was much more humid than the triassic, and as a result, the world was very tropical.",1
what did darwin speculate might be how inheritable variations might come about in a species?,"darwin also admitted ignorance of the source of inheritable variations, but speculated they might be produced by environmental factors.",0
the environmental intervention was linked to the conceptualization of what process?,"between 1791 and 1833, saint helena became the site of a series of experiments in conservation, reforestation and attempts to boost rainfall artificially.",1
how much of the bronx vote did hillquit get in 1917?,"the only republican to carry the bronx since 1914 was fiorello la guardia in 1933, 1937 and 1941 (and in the latter two elections, only because his 30-32% vote on the american labor party line was added to 22-23% as a republican).",1
what is restricted unless the film has a traditional theater release?,"deaner further explained the matter in terms of the australian film industry, stating: ""there are currently restrictions on quantities of tax support that a film can receive unless the film has a traditional cinema release.""",0
"along with bermuda, what other english colony did many settlers come from?","among these were free people of color, born in the west indies of alliances and marriages between africans and englanders, when color lines were looser among the working class in the early colonial years, and some wealthy whites took black consorts or concubines.",1
how does aposematism help a species population?,"while that particular prey organism may be killed, the coloring benefits the prey species as a whole.",1
what does confrontational scavenging involve doing to other predators after they've made a kill?,"robert blumenschine proposed the idea of confrontational scavenging, which involves challenging and scaring off other predators after they have made a kill, which he suggests could have been the leading method of obtaining protein-rich meat by early humans.",0
why were dogs initially selected?,"unlike other domestic species which were primarily selected for production-related traits, dogs were initially selected for their behaviors.",0
in what century was the church established at the location?,"construction of the present church began in 1245, on the orders of king henry iii.",1
what is the term that refers to areas where an antennas radiation is zero?,"the radiation of many antennas shows a pattern of maxima or ""lobes"" at various angles, separated by ""nulls"", angles where the radiation falls to zero.",0
what did the abbot remain as a town built around the abbey?,the proximity of the palace of westminster did not extend to providing monks or abbots with high royal connections; in social origin the benedictines of westminster were as modest as most of the order.,1
"what library was estimated to have 700,000 volumes?",the city of pergamon also had a large library and became a major center of book production.,1
what was zhejiang formerly romanized as?,"zhejiang is bordered by jiangsu province and shanghai municipality to the north, anhui province to the northwest, jiangxi province to the west, and fujian province to the south; to the east is the east china sea, beyond which lie the ryukyu islands of japan.",1
who did the children work beside?,"in many cases, men worked from home.",1
who was the bishop in this time frame?,"construction of the present church began in 1245, on the orders of king henry iii.",1
analysis by what organization detailed that municipality-based rankings may be inaccurate?,"however, an analysis by the regional data cooperative for greater new haven, inc., has shown that due to issues of comparative denominators and other factors, such municipality-based rankings can be considered inaccurate.",0
how many trophy designs have there bee?,"the fa decided to change the design after the 1909 winners, manchester united, made their own replica, leading the fa to realise they did not own the copyright.",1
what is the molecular weight loss of antibacterial compounds?,"compounds that are still isolated from living organisms are the aminoglycosides, whereas other antibacterials—for example, the sulfonamides, the quinolones, and the oxazolidinones—are produced solely by chemical synthesis.",1
what colleagues are best to work with to reach a consensus?,"gephardt added that ""inclusion and empowerment of the people on the line have to be done to get the best performance"" from the minority party.",1
what city was fifa formed?,"fifa, the international football body, was formed in paris in 1904 and declared that they would adhere to laws of the game of the football association.",0
which philosopher described the invention of a belt drive?,"yang xiong described the invention of the belt drive for a quilling machine, which was of great importance to early textile manufacturing.",0
how many alumni does olin business school have worldwide?,"olin has a network of more than 16,000 alumni worldwide.",0
what was the goal of the 2002 philippines deployment?,"the goal of the program was to provide medical care and services to the region of basilan as part of a ""hearts and minds"" program.",1
which band was he largest benefit concert in history about?,"performers, including def leppard, robert plant, guns n' roses, elton john, david bowie, george michael, annie lennox, seal, extreme, and metallica performed various queen songs along with the three remaining queen members (and spike edney.)",0
the most popular early marvel heroes were collectively and colloquially known as what?,"while no other timely character would achieve the success of these ""big three"", some notable heroes—many of which continue to appear in modern-day retcon appearances and flashbacks—include the whizzer, miss america, the destroyer, the original vision, and the angel.",0
did everyone endorse gaddafi?,"gaddafi remained the government's public face, with the identities of the other rcc members only being publicly revealed on 10 january 1970.",1
what type of lanterns are used outside elevators as well as inside most cabs?,the former are almost universal in cab interiors with more than two stops and may be found outside the elevators as well on one or more of the floors.,1
who covers incorporated associations or councils?,"furthermore, they operate across a multitude of domains and industries, from health, employment, disability and other human services to local sporting clubs, credit unions and research institutes.",1
where is the universidad tecnologica located?,"in addition, the prestigious university of california maintains a campus known as ""casa de california"" in the city.",1
what is torrence's 1989 theory about that ties into tool kit variability?,"using temperature as a proxy for risk, collard et al.'s results suggest that environments with extreme temperatures pose a threat to hunter-gatherer systems significant enough to warrant increased variability of tools.",1
what conflict was supposed to have provided iraqi forces with battle experience?,"iraqi forces were battle-hardened after 8 years of war with iran, and they were well equipped with late model soviet tanks and jet fighters, but the antiaircraft weapons were crippled; in comparison, the us had no large-scale combat experience since its withdrawal from vietnam nearly 20 years earlier, and major changes in us doctrine, equipment and technology since then had never been tested under fire.",0
what was the average number of people in a plymouth household?,"from the 2011 census, the office for national statistics published that plymouth's unitary authority area population was 256,384; 15,664 more people than that of the last census from 2001, which indicated that plymouth had a population of 240,720.",1
who wrote in their will that they received loving care from the emperor in the east?,"the tai situpa is even supposed to have written in his will: ""in the past i received loving care from the emperor in the east.",0
"in addition to social and cultural characteristics, what else is taken into account for race classification in the us census?",""" omb defines the concept of race as outlined for the u.s. census as not ""scientific or anthropological"" and takes into account ""social and cultural characteristics as well as ancestry"", using ""appropriate scientific methodologies"" that are not ""primarily biological or genetic in reference.",0
how many men were in napoleon's army when the battle began?,"bonaparte began with an army of 13,000 men; 1,500 were reported missing, 1,200 died in combat, and thousands perished from disease—mostly bubonic plague.",0
how many paper cups are used by americans each year?,americans also use on the order of 16 billion paper cups per year.,0
do the roots and shoots need each other?,"roots that spread out close to the surface, such as those of willows, can produce shoots and ultimately new plants.",1
why do people say kinseys work is not correct?,"kinsey's methods have been criticized as flawed, particularly with regard to the randomness of his sample population, which included prison inmates, male prostitutes and those who willingly participated in discussion of previously taboo sexual topics.",0
at least how many american aircraft were shot down between 1945 and 1948?,"stalin was opposed to these provocations, as he felt the ussr unready to face the west in open war so soon after the losses of world war ii and at the time when us had operational nuclear weapons whereas ussr had yet to conduct its first test.",1
what is the electrically insulting material that sheaths a-delta fiber?,a-delta fibers is described as sharp and is felt first.,1
what percentage of the population is of the  rakhine descendant line?,the rakhine people constitute 4% of the population.,0
how high do the mountains get in mexico city's region?,"mexico city is located in the valley of mexico, sometimes called the basin of mexico.",1
what was the former 10-year moratorium on the construction of nuclear plants the result of?,the former ten-year moratorium on the construction of new nuclear power plants was the result of a citizens' initiative voted on in 1990 which had passed with 54.5%,0
how far is to the neighboring capitol of canelones?,"the approximate distances to the neighbouring department capitals by road are, 90 kilometres (56 mi) to san jose de mayo (san jose department) and 46 kilometres (29 mi) to canelones (canelones department).",0
who overturned the taft vale judgement?,one of the first acts of the new liberal government was to reverse the taff vale judgement.,0
when did settlements appear in madhya pradesh?,"the first confirmed semipermanent settlements appeared 9,000 years ago in the bhimbetka rock shelters in modern madhya pradesh, india.",0
how many families were still without permanent homes?,"he stated that 200,000 homes had been rebuilt, and 685,000 were under reconstruction, but 1.94 million households were still without permanent shelter.",0
what was the name of the airport the united states built on ascension island?,a local industry manufacturing fibre from new zealand flax was successfully reestablished in 1907 and generated considerable income during the first world war.,1
where are most of them from?,"additionally, there are around 60,000 non-jewish african immigrants in israel, some of whom have sought asylum.",1
"according to popper, the scientific selection process favors which type of theory?","theories that say more about the way things appear are to be preferred over those that do not; the more generally applicable a theory is, the greater its value.",0
what kind of losses take place in transformers and inductors during conversion/transmission process?,"power conversion for a dc system takes place mainly in a railway substation where large, heavy, and more efficient hardware can be used as compared to an ac system where conversion takes place aboard the locomotive where space is limited and losses are significantly higher.",1
who was at one time laemmle's personal secretary?,"thalberg had been laemmle's personal secretary, and laemmle was impressed by his cogent observations of how efficiently the studio could be operated.",1
larry mckinney explained that a two-month delay in drilling could do what?,"following the accident, a fortune magazine contacted larry mckinney, the executive director at the harte research institute for gulf of mexico studies at texas a&m, and he explained that ""a two-month delay in the arctic is not a two-month delay...",1
what is kmc an initialism of?,"kathmandu metropolitan city (kmc), in order to promote international relations has established an international relations secretariat (irc).",0
"after completing his studies, under whose rule did he become a regular canon?","as an adolescent, he had a particular love of theology and the scriptures became the foundation of his spirituality.",1
when did the united states declare war on japan?,"on 8 december, the united states, the united kingdom, canada, and the netherlands declared war on japan, followed by china and australia the next day.",0
when was adolf hitlers first visit to the alps?,austrian-born adolf hitler had a lifelong romantic fascination with the alps and by the 1930s established a home in the obersalzberg region outside of berchtesgaden.,1
what was the port known as prior to the swedish occupation of st. barts?,"earlier to their occupation, the port was known as ""carénage"".",0
when was usb battery charging specification revision 1.2 released?,the usb battery charging specification revision 1.2 (released in 2010) makes clear that there are safety limits to the rated current at 5 a coming from usb 2.0.,0
who did yaroslav's sons marry?,"yaroslav the wise, whose stepmother belonged to the macedonian dynasty, the greatest one to rule byzantium, married the only legitimate daughter of the king who christianized sweden.",1
what were added to scoring in 2007?,"the final score is calculated by taking deductions from the e score, and adding the result to the d score.",1
what palace was the place of creation for illustrated manuscripts?,"in topkapi palace, these manuscripts were created by the artists working in nakkashane, the atelier of the miniature and illumination artists.",0
where does most of canada's asphalt end up these days?,"the canadian province of alberta has most of the world's reserves of natural bitumen, in three huge deposits covering 142,000 square kilometres (55,000 sq mi), an area larger than england or new york state.",1
what kind of books did housebuilders use?,vernacular architecture became increasingly ornamental.,1
which scientist noticed the relationship between the speed and distance of galaxies?,"the observation by edwin hubble in 1929 that the speed at which galaxies recede positively correlates with their distance, led to the understanding that the universe is expanding, and the formulation of the big bang theory by georges lemaître.",0
what is kingsbridge armory being turned into?,"the kingsbridge armory, often cited as the largest armory in the world, is scheduled for redevelopment as the kingsbridge national ice center.",0
when are 192 samples taken instead of 576?,"if there is a transient, 192 samples are taken instead of 576.",0
which of calatrava's creations contains an imax theater?,"i les ciències), which contains an opera house/performing arts centre, a science museum, an imax cinema/planetarium, an oceanographic park and other structures such as a long covered walkway and restaurants.",1
what is seattle's average december temperature?,"winters are cool and wet with december, the coolest month, averaging 40.6 °f (4.8 °c), with 28 annual days with lows that reach the freezing mark, and 2.0 days where the temperature stays at or below freezing all day; the temperature rarely lowers to 20 °f (−7 °c).",0
bell learned to accurately read lips even without knowing what?,"in this treatise, his father explains his methods of how to instruct deaf-mutes (as they were then known) to articulate words and read other people's lip movements to decipher meaning.",1
what is oklahoma's largest school district?,"oklahoma city is home to the state's largest school district, oklahoma city public schools.",0
what is a name for the reduced complement of genetic material necessary for an organism to live?,there is experimental work being done on minimal genomes for single cell organisms as well as minimal genomes for multi-cellular organisms (see developmental biology).,0
in what year was the mananga management centre founded?,"the mananga management centre was established as mananga agricultural management centre in 1972 as an international management development centre catering for middle and senior managers, it is located at ezulwini.",0
what rank provided its holder territorial rule?,each successive rank gave its holder greater pensions and legal privileges.,1
what happened to hornswoggle?,"dave finlay was often aided in his matches by a midget known mainly as hornswoggle while in wwe, who hid under the ring and gave a shillelagh to finlay to use on his opponent.",1
what percentage of mexico city's population was indigenous in 1921?,"in 1921, mexico city had less than one million inhabitants.",1
in what year did a french magazine describe the use of asphalt?,"one hundred years after the fall of constantinople in 1453, pierre belon described in his work observations in 1553 that pissasphalto, a mixture of pitch and bitumen, was used in dubrovnik for tarring of ships from where it was exported to a market place in venice where it could be bought by anyone.",1
